Dataset name	Dataset Paper ID	Gold Reference Paper (Paper Id)	Gold Reference Table (Caption Id e.g., Table 1)	Table URL	Dataset name Aliases (seperated by comma)	Type of result (separated by commas)	Additiional datasets?	Notes
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 9	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/17		evaluation results for the KGs		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 10	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/19		evaluation results for the KGs		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 11	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/20		evaluation results for the KGs regarding the dimensionality interoperability		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 12	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/22		evaluation results for the KGs regarding the dimensionality accessibility		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 13	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/23		evaluation results for the KGs regarding the dimension license 		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 14 	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/24		evaluation results for the KGs regarding the dimension interlinking		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 15	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/25		accuracy, trustworthiness, consistency, relevancy, completeness, timeliness, ease of understanding, interoperability, accessibility, licensing, interlinking		
third recognising textual entailment challenge	de794d50713ea5f91a7c9da3d72041e2f5ef8452	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
attribute learning for understanding unstructured social activity	a5e5c0bfe949b951ae88114e950601934026430a	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
congealing complex images	ed0fb7c41635c0923b9d86b1cbe8cd6241603158	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
eurovoc	1e76f200e56801dace32557dcc008dcf7804db3b	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
recognising textual entailment challenge (rte-1)	b860d66221283cd29c657a58f4585943a5262f51	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
let's go!: speech	e4654d460be56c9590b61284dbff40b15506d83a	c71c51a21ae57c2f71b377b69377b952d25134cf	table 3	https://www.semanticscholar.org/paper/Root-Cause-Analysis-of-Miscommunication-Hotspots-i-Georgiladakis-Athanasopoulou/c71c51a21ae57c2f71b377b69377b952d25134cf/figure/3	LG	problematic %		
		c71c51a21ae57c2f71b377b69377b952d25134cf	table 4	https://www.semanticscholar.org/paper/Root-Cause-Analysis-of-Miscommunication-Hotspots-i-Georgiladakis-Athanasopoulou/c71c51a21ae57c2f71b377b69377b952d25134cf/figure/4		root cause analysis datasets		
		c71c51a21ae57c2f71b377b69377b952d25134cf	table 5	https://www.semanticscholar.org/paper/Root-Cause-Analysis-of-Miscommunication-Hotspots-i-Georgiladakis-Athanasopoulou/c71c51a21ae57c2f71b377b69377b952d25134cf/figure/5		percentage of root cause types		
		c71c51a21ae57c2f71b377b69377b952d25134cf	table 6	https://www.semanticscholar.org/paper/Root-Cause-Analysis-of-Miscommunication-Hotspots-i-Georgiladakis-Athanasopoulou/c71c51a21ae57c2f71b377b69377b952d25134cf/figure/6		UAR %		
		c71c51a21ae57c2f71b377b69377b952d25134cf	table 7	https://www.semanticscholar.org/paper/Root-Cause-Analysis-of-Miscommunication-Hotspots-i-Georgiladakis-Athanasopoulou/c71c51a21ae57c2f71b377b69377b952d25134cf/figure/7		UAR%		
nusef	54c186f18b07b6566a42ad1198463f3faea09928	2b0e1f563917592cc7b8f2015b93292ae1949cdd	table II	https://www.semanticscholar.org/paper/Dual-Low-Rank-Pursuit%3A-Learning-Salient-Features-f-Lang-Feng/2b0e1f563917592cc7b8f2015b93292ae1949cdd/figure/8		performance		
		5120c8e0e2ce4bdce8a5474b55f5b5297e68170b	table I	https://www.semanticscholar.org/paper/Weakly-Supervised-Human-Fixations-Prediction-Zhang-Li/5120c8e0e2ce4bdce8a5474b55f5b5297e68170b/figure/16		comparative SAUC scores		
		-	-	-	-			
animals with attributes	0566bf06a0368b518b8b474166f7b1dfef3f9283	69e4bcb9d7103165176112c675120f88b2ee7a13	table 2	https://www.semanticscholar.org/paper/Learning-to-Recognise-Unseen-Classes-by-A-Few-Simi-Long-Shao/69e4bcb9d7103165176112c675120f88b2ee7a13/figure/2	AwA	hit rate		
		69e4bcb9d7103165176112c675120f88b2ee7a13	table 3	https://www.semanticscholar.org/paper/Learning-to-Recognise-Unseen-Classes-by-A-Few-Simi-Long-Shao/69e4bcb9d7103165176112c675120f88b2ee7a13/figure/4		state-of-the-art-results		
		69e4bcb9d7103165176112c675120f88b2ee7a13	table 5	https://www.semanticscholar.org/paper/Learning-to-Recognise-Unseen-Classes-by-A-Few-Simi-Long-Shao/69e4bcb9d7103165176112c675120f88b2ee7a13/figure/8		averaged inference time		
		69e4bcb9d7103165176112c675120f88b2ee7a13	table 6	https://www.semanticscholar.org/paper/Learning-to-Recognise-Unseen-Classes-by-A-Few-Simi-Long-Shao/69e4bcb9d7103165176112c675120f88b2ee7a13/figure/10		performance %		
		69e4bcb9d7103165176112c675120f88b2ee7a13	table 7	https://www.semanticscholar.org/paper/Learning-to-Recognise-Unseen-Classes-by-A-Few-Simi-Long-Shao/69e4bcb9d7103165176112c675120f88b2ee7a13/figure/11		performance upper bound %		
cmu_arctic	4fd4d980c5007458044c8a619823d35f8426c04c	344e1b401293a8c547bed50c71c4d5e61d2fbecc	table 1	https://www.semanticscholar.org/paper/A-Spectro-Temporal-Demodulation-Technique-for-Pitc-Dhiman-Adiga/344e1b401293a8c547bed50c71c4d5e61d2fbecc/figure/1	CMU-arctic	GPE %		
		99f53c1117ead2974c5ff7729a77a6755809e133	table 1	https://www.semanticscholar.org/paper/Accurate-Synchronization-of-Speech-and-EGG-Signal-Kumar-Rao/99f53c1117ead2974c5ff7729a77a6755809e133/figure/1		mean glottis-to-microphone delay		
		-	-	-	-	-		
microsoft research paraphrase corpus	94d87fe702aa8b9df6c794d6658d4c6c1b143999	bb3fd1d7960c58a1f11ed14bf10cd5ec17f81748	table 6	https://www.semanticscholar.org/paper/A-Deep-Network-Model-for-Paraphrase-Detection-in-S-Agarwal-Ramampiaro/bb3fd1d7960c58a1f11ed14bf10cd5ec17f81748/figure/10	msrp	accuracy, F1		
		bb3fd1d7960c58a1f11ed14bf10cd5ec17f81748	table 7	https://www.semanticscholar.org/paper/A-Deep-Network-Model-for-Paraphrase-Detection-in-S-Agarwal-Ramampiaro/bb3fd1d7960c58a1f11ed14bf10cd5ec17f81748/figure/11		accuracy, F1		
								
stonefly9	1394481b679eddbe9ea634d3d92cac70d2d66089	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
ucf youtube action	5a3f0e609c94da47e296857e562e1c7ceb0d50a9	6a248501e42f0c22f0b091e3a22c01197fa5cd2e	table 1	https://www.semanticscholar.org/paper/Improving-Bag-of-Visual-Words-model-using-visual-n-Hern%C3%A1ndez-Garc%C3%ADa-C%C3%B3zar/6a248501e42f0c22f0b091e3a22c01197fa5cd2e/figure/1		accuracy		
		6a248501e42f0c22f0b091e3a22c01197fa5cd2e	table 2	https://www.semanticscholar.org/paper/Improving-Bag-of-Visual-Words-model-using-visual-n-Hern%C3%A1ndez-Garc%C3%ADa-C%C3%B3zar/6a248501e42f0c22f0b091e3a22c01197fa5cd2e/figure/3		accuracy		
		6a248501e42f0c22f0b091e3a22c01197fa5cd2e	table 5	https://www.semanticscholar.org/paper/Improving-Bag-of-Visual-Words-model-using-visual-n-Hern%C3%A1ndez-Garc%C3%ADa-C%C3%B3zar/6a248501e42f0c22f0b091e3a22c01197fa5cd2e/figure/6		comparison		
		4d1f77d9418a212c61a3c75c04a5b3884f6441ba	table II	https://www.semanticscholar.org/paper/Hierarchical-and-Spatio-Temporal-Sparse-Representa-Tian-Kong/4d1f77d9418a212c61a3c75c04a5b3884f6441ba/figure/7		comparison		
		4d1f77d9418a212c61a3c75c04a5b3884f6441ba	table IV	https://www.semanticscholar.org/paper/Hierarchical-and-Spatio-Temporal-Sparse-Representa-Tian-Kong/4d1f77d9418a212c61a3c75c04a5b3884f6441ba/figure/9		comparison		
		4d1f77d9418a212c61a3c75c04a5b3884f6441ba	table IX	https://www.semanticscholar.org/paper/Hierarchical-and-Spatio-Temporal-Sparse-Representa-Tian-Kong/4d1f77d9418a212c61a3c75c04a5b3884f6441ba/figure/10		comparison		
		4d1f77d9418a212c61a3c75c04a5b3884f6441ba	table VI	https://www.semanticscholar.org/paper/Hierarchical-and-Spatio-Temporal-Sparse-Representa-Tian-Kong/4d1f77d9418a212c61a3c75c04a5b3884f6441ba/figure/12		comparison		
		4d1f77d9418a212c61a3c75c04a5b3884f6441ba	table VII	https://www.semanticscholar.org/paper/Hierarchical-and-Spatio-Temporal-Sparse-Representa-Tian-Kong/4d1f77d9418a212c61a3c75c04a5b3884f6441ba/figure/13		comparison		
		4d1f77d9418a212c61a3c75c04a5b3884f6441ba	table VIII	https://www.semanticscholar.org/paper/Hierarchical-and-Spatio-Temporal-Sparse-Representa-Tian-Kong/4d1f77d9418a212c61a3c75c04a5b3884f6441ba/figure/14		performance of different methods		
		4d1f77d9418a212c61a3c75c04a5b3884f6441ba	table X	https://www.semanticscholar.org/paper/Hierarchical-and-Spatio-Temporal-Sparse-Representa-Tian-Kong/4d1f77d9418a212c61a3c75c04a5b3884f6441ba/figure/15		performance of different methods		
		4d1f77d9418a212c61a3c75c04a5b3884f6441ba	table XIII	https://www.semanticscholar.org/paper/Hierarchical-and-Spatio-Temporal-Sparse-Representa-Tian-Kong/4d1f77d9418a212c61a3c75c04a5b3884f6441ba/figure/17		comparisons		
jeopardy! questions	8487e50a4a961fff3d81c01bf0099cac09d3e91b	-	-	-	-		404 not found	
		-	-	-	-			
		-	-	-	-			
youtube-objects	faedfd28585c588fbd3b0e5752b5898a7f57c74b	e3ed68fe390a47bb99380febc905c25fdb07477e	table II	https://www.semanticscholar.org/paper/Object-Localization-in-Weakly-Labeled-Data-Using-R-Teh-Guo/e3ed68fe390a47bb99380febc905c25fdb07477e/figure/7	youtube-objects-subset	results		
		e3ed68fe390a47bb99380febc905c25fdb07477e	table III	https://www.semanticscholar.org/paper/Object-Localization-in-Weakly-Labeled-Data-Using-R-Teh-Guo/e3ed68fe390a47bb99380febc905c25fdb07477e/figure/8		results		
		1190e0210430e8b743af24cdc43efdeef407b669	table 2	https://www.semanticscholar.org/paper/Learning-Video-Object-Segmentation-from-Static-Ima-Khoreva-Perazzi/1190e0210430e8b743af24cdc43efdeef407b669/figure/3				
multi-view stereo for community photo collections	db7361686946bbe77ccb0486bd791ee536e5d648	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
the mnist database of handwritten digits	641e6d89b3f080a8848ea6a8aa4e7e2ac09dace8	-	-	-	-	404 not found		
		-	-	-	-			
		-	-	-	-			
second recognising textual entailment challenge (rte-2)	136326377c122560768db674e35f5bcd6de3bc40	1b4aee6da3dc87a6c59218ef4675a68334c2c933	table 3.11	https://www.semanticscholar.org/paper/Methods-for-measuring-semantic-similarity-of-texts-Gaona/1b4aee6da3dc87a6c59218ef4675a68334c2c933/figure/3		accuracy		
		1b4aee6da3dc87a6c59218ef4675a68334c2c933	table 3.13	https://www.semanticscholar.org/paper/Methods-for-measuring-semantic-similarity-of-texts-Gaona/1b4aee6da3dc87a6c59218ef4675a68334c2c933/figure/5		accuracy		
		1b4aee6da3dc87a6c59218ef4675a68334c2c933	table 3.8	https://www.semanticscholar.org/paper/Methods-for-measuring-semantic-similarity-of-texts-Gaona/1b4aee6da3dc87a6c59218ef4675a68334c2c933/figure/8		accuracy		
		1b4aee6da3dc87a6c59218ef4675a68334c2c933	table 4.11	https://www.semanticscholar.org/paper/Methods-for-measuring-semantic-similarity-of-texts-Gaona/1b4aee6da3dc87a6c59218ef4675a68334c2c933/figure/11		comparison of the best matching		
		1b4aee6da3dc87a6c59218ef4675a68334c2c933	table 4.2	https://www.semanticscholar.org/paper/Methods-for-measuring-semantic-similarity-of-texts-Gaona/1b4aee6da3dc87a6c59218ef4675a68334c2c933/figure/16		comparison with common metrics		
		1b4aee6da3dc87a6c59218ef4675a68334c2c933	table 4.9	https://www.semanticscholar.org/paper/Methods-for-measuring-semantic-similarity-of-texts-Gaona/1b4aee6da3dc87a6c59218ef4675a68334c2c933/figure/19		comparison with previous work		
grabcut	236ae3cad39a3e57fe0f8850fc3428e42cd8bfad	-	-	-	-	404 not found		
		-	-	-	-			
		-	-	-	-			
dekang lin's dependency triples	9069975769561f24d3637526e6af07ab358a379f							
								
								
recognition of human actions	b480f6a3750b4cebaf1db205692c8321d45926a2							
								
								
olympic sports	e98655bf43c845e52647eac4c33dbc8180748fe5							
								
								
ppmi	92dbc9cf4a8807e467369d78ae673a3a0360a480							
								
								
3d object	c24455b20eb2111554fadd7313b6e5d65ba527ac				b3do			
								
								
probase	5bd12dd0919a07591ce1ee9e8cb42f2d10299d8d							
								
								
endgame	d088cdda1948d291d7c7cf4bbfe46c9391242cdc							
								
								
yago	00a3f6924f90fcd77e6e7e6534b957a75d0ced07							
								
								
virat video	d8891f71aa3e0fc7964037a0a4e5c35389e0e3e8							
								
								
the blizzard challenge	7be93eece4af131d09149664fc5db2e089a9d369							
								
								
tac 2010 rte track (rte-6)	9746994d09b5bf6c40bee3693ee8678e191f84b8							
								
								
3d desktop objects	3069d33748a1740aedd10d308b6bcdf9bee09d3e							
								
								
cora	032592a4057228d56687156d606a54dd97ea7898							
								
								
learning visual attributes	22b1b9a0d3df813ba5912d457d8f366e7a0a273c							
								
								
babelnet	7f90ef42f22d4f9b86d33b0ad7f16261273c8612							
								
								
weizmann horse	db28f726e65743186168c89350fb0dedc54bf291							
								
								
opencyc	543d58744f0402fe0cac4b5d52a943b110afd229							
								
								
stanford contradiction	480c4b254a1a579669f13259cc475c42b58cff83							
								
								
wsare	4f669fca768b81fd5543897efcb851759cebca61							
								
								
hep-th	033384277d723f532c84ccccf247a20030c36434							
								
								
tac 2009 rte track (rte-5)	db8885a0037fe47d973ade79d696586453710233							
								
								
amr	7bef4d04939a8553e4d424d98899153fe8786022							
								
								
radical	18b574f082a45379c24c736ce64625edee936173							
								
								
3d objects on turntable	c1d6311b48cab44bf2cb077a606ed94fb8117d2b							
								
								
the strand bilingual	2a954bdf203b327741ecf5d1c8fd70ccd15dcf73							
								
								
questionbank	956d4b97f5814dd9e53abf286cc8cfe1283a01eb							
								
								
university of florida sparse matrix collection	8f616bea75ac69f1e17d60735cdf8d4ff744191a							
								
								
rgb-d object dataset	8031f5896bbd105a1e657bde77c7faac2291ce81							
								
								
yahoo! music dataset	7d50b6883c38e34016a4841ec4ab2b92bfdfe3ad							
								
								
labelme	6c4313542b5dc9b4ae32608fc7b3db6684a5c3be							
								
								
dash	91b38dcdee26b1c2e60cf3e4c27bd91eed21ad57							
								
								
social event detection	e1654a88a9b4a9c3347d7dcbb8db4ea46878a4f8							
								
								
genia	da6c3fdf8ef9aae979a5dd156e074ba6691b2e2c							
								
								
spontaneous speech corpus of japanese	ac23e62a18186c9a51dfea16d3602f52ff8c3b3a							
								
								
salsa	3aa133ccc7e21793cb31ad96da8defb3dd50dab4							
								
								
edinburgh twitter corpus	0f9e183f256e7275ca879ca825ecd1cd6f4c5049							
								
								
ukwac	9c6b30794a3e2aa577b216be48f020ac81e84b62							
								
								
potsdam commentary	328a884ddcd8c23ffcb55f8bf430581f7e530d78							
								
								
coco	71b7178df5d2b112d07e45038cb5637208659ff7							
								
								
stanford natural language inference	ee4578a09abef168a6a7808d447f78cf8631e731							
